id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
HR-11T_2311,"Hộp bảo quản thực phẩm 2 lớp chia ngăn Homepower HR-T","Dung tích: 11L",https://localhost/homepower_pp/wp-content/uploads/2022/07/HCR3.png,https://localhost/homepower_pp/san-pham/hop-bao-quan-thuc-pham-2-lop-chia-ngan-homepower-hr-t?attribute_dung-tich=11L,"Hôp Đựng Thực Phẩm","HOMEPOWER",329000VND,in stock,HR-T_2302,https://localhost/homepower_pp/gio-hang?add-to-cart=2302&variation_id=2311&attribute_dung-tich=11L,"https://localhost/homepower_pp/wp-content/uploads/2022/07/hop-dung-thuc-pham-2-lop-kem-ro-homepower.jpg,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV1spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV2spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV3spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV4spm.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,329000VND,new,published,,"dung-tich:2.3L/5.5L/11L:11L"
HR-23T_2309,"Hộp bảo quản thực phẩm 2 lớp chia ngăn Homepower HR-T","Dung tích: 2.3L",https://localhost/homepower_pp/wp-content/uploads/2022/07/HCR1.png,https://localhost/homepower_pp/san-pham/hop-bao-quan-thuc-pham-2-lop-chia-ngan-homepower-hr-t?attribute_dung-tich=2.3L,"Hôp Đựng Thực Phẩm","HOMEPOWER",185000VND,in stock,HR-T_2302,https://localhost/homepower_pp/gio-hang?add-to-cart=2302&variation_id=2309&attribute_dung-tich=2.3L,"https://localhost/homepower_pp/wp-content/uploads/2022/07/hop-dung-thuc-pham-2-lop-kem-ro-homepower.jpg,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV1spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV2spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV3spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV4spm.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,185000VND,new,published,,"dung-tich:2.3L/5.5L/11L:2.3L"
HR-55T_2310,"Hộp bảo quản thực phẩm 2 lớp chia ngăn Homepower HR-T","Dung tích: 5.5L",https://localhost/homepower_pp/wp-content/uploads/2022/07/HCR2.png,https://localhost/homepower_pp/san-pham/hop-bao-quan-thuc-pham-2-lop-chia-ngan-homepower-hr-t?attribute_dung-tich=5.5L,"Hôp Đựng Thực Phẩm","HOMEPOWER",265000VND,in stock,HR-T_2302,https://localhost/homepower_pp/gio-hang?add-to-cart=2302&variation_id=2310&attribute_dung-tich=5.5L,"https://localhost/homepower_pp/wp-content/uploads/2022/07/hop-dung-thuc-pham-2-lop-kem-ro-homepower.jpg,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV1spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV2spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV3spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HCRV4spm.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,265000VND,new,published,,"dung-tich:2.3L/5.5L/11L:5.5L"
HTC-5X_2295,"Hộp bảo quản thực phẩm tách nước có tay cầm Homepower HTC-XT","Màu sắc: Xanh, Dung tích: 5L",https://localhost/homepower_pp/wp-content/uploads/2022/07/HTCSKU3.png,https://localhost/homepower_pp/san-pham/hop-bao-quan-thuc-pham-tach-nuoc-co-tay-cam-homepower-htc-xt?attribute_mau-sac=Xanh&attribute_dung-tich=5L,"Hôp Đựng Thực Phẩm","HOMEPOWER",149000VND,in stock,HTC_2285,https://localhost/homepower_pp/gio-hang?add-to-cart=2285&variation_id=2295&attribute_mau-sac=Xanh&attribute_dung-tich=5L,"https://localhost/homepower_pp/wp-content/uploads/2022/07/hop-dung-thuc-pham-co-tay-cam.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC1spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC2spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC3spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC4spm.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149000VND,new,published,,"mau-sac:Xanh/Trắng:Xanh,dung-tich:3L/5L:5L"
HTC-3T_2296,"Hộp bảo quản thực phẩm tách nước có tay cầm Homepower HTC-XT","Màu sắc: Trắng, Dung tích: 3L",https://localhost/homepower_pp/wp-content/uploads/2022/07/HTCSKU1.png,https://localhost/homepower_pp/san-pham/hop-bao-quan-thuc-pham-tach-nuoc-co-tay-cam-homepower-htc-xt?attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=3L,"Hôp Đựng Thực Phẩm","HOMEPOWER",119000VND,in stock,HTC_2285,https://localhost/homepower_pp/gio-hang?add-to-cart=2285&variation_id=2296&attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=3L,"https://localhost/homepower_pp/wp-content/uploads/2022/07/hop-dung-thuc-pham-co-tay-cam.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC1spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC2spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC3spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC4spm.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119000VND,new,published,,"mau-sac:Xanh/Trắng:Trắng,dung-tich:3L/5L:3L"
HTC-3X_2294,"Hộp bảo quản thực phẩm tách nước có tay cầm Homepower HTC-XT","Màu sắc: Xanh, Dung tích: 3L",https://localhost/homepower_pp/wp-content/uploads/2022/07/HTCSKU2.png,https://localhost/homepower_pp/san-pham/hop-bao-quan-thuc-pham-tach-nuoc-co-tay-cam-homepower-htc-xt?attribute_mau-sac=Xanh&attribute_dung-tich=3L,"Hôp Đựng Thực Phẩm","HOMEPOWER",119000VND,in stock,HTC_2285,https://localhost/homepower_pp/gio-hang?add-to-cart=2285&variation_id=2294&attribute_mau-sac=Xanh&attribute_dung-tich=3L,"https://localhost/homepower_pp/wp-content/uploads/2022/07/hop-dung-thuc-pham-co-tay-cam.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC1spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC2spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC3spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC4spm.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,119000VND,new,published,,"mau-sac:Xanh/Trắng:Xanh,dung-tich:3L/5L:3L"
HTC-5T_2297,"Hộp bảo quản thực phẩm tách nước có tay cầm Homepower HTC-XT","Màu sắc: Trắng, Dung tích: 5L",https://localhost/homepower_pp/wp-content/uploads/2022/07/HTCSKU4.png,https://localhost/homepower_pp/san-pham/hop-bao-quan-thuc-pham-tach-nuoc-co-tay-cam-homepower-htc-xt?attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=5L,"Hôp Đựng Thực Phẩm","HOMEPOWER",149000VND,in stock,HTC_2285,https://localhost/homepower_pp/gio-hang?add-to-cart=2285&variation_id=2297&attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=5L,"https://localhost/homepower_pp/wp-content/uploads/2022/07/hop-dung-thuc-pham-co-tay-cam.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC1spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC2spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC3spm.png,https://localhost/homepower_pp/wp-content/uploads/2022/07/HTC4spm.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149000VND,new,published,,"mau-sac:Xanh/Trắng:Trắng,dung-tich:3L/5L:5L"
PET-T_2038,"Hộp nhựa bảo quản thực phẩm cao cấp Homepower PET-T","Màu sắc: Xám, Dung tích: 2.6Lit",https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1-1.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-thuc-pham-cao-cap-homepower-pet-t?attribute_mau-sac=X%C3%A1m&attribute_dung-tich=2.6Lit,"Hôp Đựng Thực Phẩm","HOMEPOWER",190000VND,in stock,PET-T_2006,https://localhost/homepower_pp/gio-hang?add-to-cart=2006&variation_id=2038&attribute_mau-sac=X%C3%A1m&attribute_dung-tich=2.6Lit,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-tron-homepower.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,190000VND,new,published,,"mau-sac:Trắng/Xám:Xám,dung-tich:0.5Lit/1.2Lit/2.6Lit/Set 3 hộp:2.6Lit"
PET-T_2039,"Hộp nhựa bảo quản thực phẩm cao cấp Homepower PET-T","Màu sắc: Xám, Dung tích: Set 3 hộp",https://localhost/homepower_pp/wp-content/uploads/2021/12/Set-3-HộpX.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-thuc-pham-cao-cap-homepower-pet-t?attribute_mau-sac=X%C3%A1m&attribute_dung-tich=Set+3+h%E1%BB%99p,"Hôp Đựng Thực Phẩm","HOMEPOWER",330000VND,in stock,PET-T_2006,https://localhost/homepower_pp/gio-hang?add-to-cart=2006&variation_id=2039&attribute_mau-sac=X%C3%A1m&attribute_dung-tich=Set+3+h%E1%BB%99p,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-tron-homepower.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,330000VND,new,published,,"mau-sac:Trắng/Xám:Xám,dung-tich:0.5Lit/1.2Lit/2.6Lit/Set 3 hộp:Set 3 hộp"
PET-T_2034,"Hộp nhựa bảo quản thực phẩm cao cấp Homepower PET-T","Màu sắc: Trắng, Dung tích: 2.6Lit",https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4-1.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-thuc-pham-cao-cap-homepower-pet-t?attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=2.6Lit,"Hôp Đựng Thực Phẩm","HOMEPOWER",190000VND,in stock,PET-T_2006,https://localhost/homepower_pp/gio-hang?add-to-cart=2006&variation_id=2034&attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=2.6Lit,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-tron-homepower.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,190000VND,new,published,,"mau-sac:Trắng/Xám:Trắng,dung-tich:0.5Lit/1.2Lit/2.6Lit/Set 3 hộp:2.6Lit"
PET-T_2033,"Hộp nhựa bảo quản thực phẩm cao cấp Homepower PET-T","Màu sắc: Trắng, Dung tích: 1.2Lit",https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron5-1.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-thuc-pham-cao-cap-homepower-pet-t?attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=1.2Lit,"Hôp Đựng Thực Phẩm","HOMEPOWER",120000VND,in stock,PET-T_2006,https://localhost/homepower_pp/gio-hang?add-to-cart=2006&variation_id=2033&attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=1.2Lit,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-tron-homepower.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,120000VND,new,published,,"mau-sac:Trắng/Xám:Trắng,dung-tich:0.5Lit/1.2Lit/2.6Lit/Set 3 hộp:1.2Lit"
PET-T_2036,"Hộp nhựa bảo quản thực phẩm cao cấp Homepower PET-T","Màu sắc: Xám, Dung tích: 0.5Lit",https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3-1.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-thuc-pham-cao-cap-homepower-pet-t?attribute_mau-sac=X%C3%A1m&attribute_dung-tich=0.5Lit,"Hôp Đựng Thực Phẩm","HOMEPOWER",75000VND,in stock,PET-T_2006,https://localhost/homepower_pp/gio-hang?add-to-cart=2006&variation_id=2036&attribute_mau-sac=X%C3%A1m&attribute_dung-tich=0.5Lit,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-tron-homepower.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,75000VND,new,published,,"mau-sac:Trắng/Xám:Xám,dung-tich:0.5Lit/1.2Lit/2.6Lit/Set 3 hộp:0.5Lit"
PET-T_2035,"Hộp nhựa bảo quản thực phẩm cao cấp Homepower PET-T","Màu sắc: Trắng, Dung tích: Set 3 hộp",https://localhost/homepower_pp/wp-content/uploads/2021/12/Set-3-HộpV.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-thuc-pham-cao-cap-homepower-pet-t?attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=Set+3+h%E1%BB%99p,"Hôp Đựng Thực Phẩm","HOMEPOWER",330000VND,in stock,PET-T_2006,https://localhost/homepower_pp/gio-hang?add-to-cart=2006&variation_id=2035&attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=Set+3+h%E1%BB%99p,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-tron-homepower.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,330000VND,new,published,,"mau-sac:Trắng/Xám:Trắng,dung-tich:0.5Lit/1.2Lit/2.6Lit/Set 3 hộp:Set 3 hộp"
PET-T_2037,"Hộp nhựa bảo quản thực phẩm cao cấp Homepower PET-T","Màu sắc: Xám, Dung tích: 1.2Lit",https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2-1.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-thuc-pham-cao-cap-homepower-pet-t?attribute_mau-sac=X%C3%A1m&attribute_dung-tich=1.2Lit,"Hôp Đựng Thực Phẩm","HOMEPOWER",120000VND,in stock,PET-T_2006,https://localhost/homepower_pp/gio-hang?add-to-cart=2006&variation_id=2037&attribute_mau-sac=X%C3%A1m&attribute_dung-tich=1.2Lit,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-tron-homepower.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,120000VND,new,published,,"mau-sac:Trắng/Xám:Xám,dung-tich:0.5Lit/1.2Lit/2.6Lit/Set 3 hộp:1.2Lit"
PET-T_2032,"Hộp nhựa bảo quản thực phẩm cao cấp Homepower PET-T","Màu sắc: Trắng, Dung tích: 0.5Lit",https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron6-1.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-thuc-pham-cao-cap-homepower-pet-t?attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=0.5Lit,"Hôp Đựng Thực Phẩm","HOMEPOWER",75000VND,in stock,PET-T_2006,https://localhost/homepower_pp/gio-hang?add-to-cart=2006&variation_id=2032&attribute_mau-sac=Tr%E1%BA%AFng&attribute_dung-tich=0.5Lit,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-tron-homepower.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HTron4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,75000VND,new,published,,"mau-sac:Trắng/Xám:Trắng,dung-tich:0.5Lit/1.2Lit/2.6Lit/Set 3 hộp:0.5Lit"
HDT-24X_2005,"Hộp nhựa bảo quản trứng cao cấp Homepower HDT-VX","Màu sắc: Xám, Sức chứa: 24 Trứng",https://localhost/homepower_pp/wp-content/uploads/2021/12/HT1-1.png,https://localhost/homepower_pp/san-pham/hop-nhua-bao-quan-trung-cao-cap-homepower-pet-o?attribute_mau-sac=X%C3%A1m&attribute_suc-chua=24+Tr%E1%BB%A9ng,"Hôp Đựng Thực Phẩm","HOMEPOWER",249000VND,in stock,HDT-VX_1980,https://localhost/homepower_pp/gio-hang?add-to-cart=1980&variation_id=2005&attribute_mau-sac=X%C3%A1m&attribute_suc-chua=24+Tr%E1%BB%A9ng,"https://localhost/homepower_pp/wp-content/uploads/2021/12/hop-dung-trung-tu-lanh.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HT1.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HT2.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HT3.png,https://localhost/homepower_pp/wp-content/uploads/2021/12/HT4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,249000VND,new,published,,"mau-sac:Vàng/Xám:Xám,suc-chua:18 Trứng/24 Trứng:24 Trứng"
